0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:11:02 +0530] "GET /NonVegMarket/ HTTP/1.1" 200 25208
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:11:03 +0530] "GET /NonVegMarket/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:11:03 +0530] "GET /NonVegMarket/css/loginmodal.css HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:11:03 +0530] "GET /NonVegMarket/js/loginmodal.js HTTP/1.1" 200 3952
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:11:04 +0530] "GET /NonVegMarket/img/header-overlay.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:11:09 +0530] "GET /NonVegMarket/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:11:09 +0530] "GET /NonVegMarket/fonts/ionicons.ttf?v=2.0.1 HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:11:10 +0530] "GET /NonVegMarket/fonts/ionicons.woff?v=2.0.1 HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:11:11 +0530] "GET /NonVegMarket/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:12:12 +0530] "GET /NonVegMarket/ HTTP/1.1" 200 25163
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:12:13 +0530] "GET /NonVegMarket/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:12:13 +0530] "GET /NonVegMarket/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:12:13 +0530] "GET /NonVegMarket/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:12:13 +0530] "GET /NonVegMarket/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:12:13 +0530] "GET /NonVegMarket/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:12:13 +0530] "GET /NonVegMarket/js/vendor/modernizr-2.6.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:12:13 +0530] "GET /NonVegMarket/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:11:12:13 +0530] "GET /NonVegMarket/css/responsive.css HTTP/1.1" 304 -
